"PID","L1C_TargetAcc","L1I_TargetAcc","L2C_TargetAcc","L2I_TargetAcc","L1C_Confidence","L1I_Confidence","L2C_Confidence","L2I_Confidence"
11712648,0.933333333333333,1,0.933333333333333,0.785714285714286,8.66666666666667,8.28571428571429,7.13333333333333,6.35714285714286
11712692,1,0.928571428571429,1,0.307692307692308,9.6,9.78571428571429,9.86666666666667,8.38461538461539
11712910,1,1,1,0.857142857142857,8.8,8.78571428571429,8,7
11713239,1,0.916666666666667,1,0.538461538461538,10,9.25,9.6,5.84615384615385
11717665,1,1,0.933333333333333,0.866666666666667,9.86666666666667,9.42857142857143,9.6,8.66666666666667
11717859,1,0.916666666666667,0.928571428571429,0.428571428571429,9.86666666666667,9,8.35714285714286,8.21428571428571
11719227,1,0.928571428571429,1,0.533333333333333,8.93333333333333,8.14285714285714,8.64285714285714,6.4
11722085,1,1,1,0.833333333333333,8.78571428571429,8.14285714285714,8.8,7.41666666666667
11729527,1,1,1,0.833333333333333,10,9.42857142857143,9.86666666666667,8.33333333333333
11729613,0.933333333333333,0.857142857142857,0.933333333333333,0.933333333333333,7.46666666666667,6.14285714285714,7.06666666666667,5.73333333333333
11732440,1,1,1,0.866666666666667,10,9.5,9.93333333333333,8.93333333333333
11734095,1,1,0.933333333333333,0.714285714285714,9.73333333333333,9.42857142857143,8.26666666666667,6.42857142857143
11741276,1,1,1,0.769230769230769,9.14285714285714,7.84615384615385,7.66666666666667,6.69230769230769
11742381,1,0.928571428571429,1,0.6,10,9.07142857142857,10,6.73333333333333
11742537,1,0.928571428571429,1,0.714285714285714,10,9.21428571428571,10,5.71428571428571
11748998,0.933333333333333,1,0.9,0.692307692307692,9.46666666666667,9.30769230769231,9.4,8.61538461538461
11759499,0.933333333333333,0.923076923076923,1,0.846153846153846,9.73333333333333,8.46153846153846,9.58333333333333,4.07692307692308
11759602,1,1,0.928571428571429,0.769230769230769,9.64285714285714,9.14285714285714,9.42857142857143,8.69230769230769
11759712,1,1,0.933333333333333,0.785714285714286,10,9.42857142857143,9.53333333333333,8
11759848,1,0.928571428571429,1,0.785714285714286,8.6,8.14285714285714,8.73333333333333,7
11759858,1,1,1,0.769230769230769,7.73333333333333,6.64285714285714,4.85714285714286,3
11763863,1,1,1,0.8,9.86666666666667,9.71428571428571,9.86666666666667,8.6
11764201,1,0.923076923076923,0.928571428571429,0.857142857142857,10,9.30769230769231,9.35714285714286,8.92857142857143
11768542,1,0.928571428571429,1,0.615384615384615,10,8.35714285714286,8.73333333333333,4.38461538461539
11769014,1,1,1,0.857142857142857,8.73333333333333,7.07692307692308,7.73333333333333,5.5
11769326,1,0.928571428571429,1,0.5,10,8.21428571428571,9.28571428571429,6.28571428571429
11769386,1,1,0.866666666666667,0.8,10,10,9.46666666666667,8.8
11769867,1,0.923076923076923,1,0.416666666666667,9.46153846153846,8.23076923076923,7.84615384615385,5.25
11770041,0.933333333333333,1,0.933333333333333,0.928571428571429,9.73333333333333,9.5,9.13333333333333,9.64285714285714
11770295,1,0.857142857142857,1,0.8,10,8.5,9.66666666666667,6.2
11771459,1,0.928571428571429,1,0.857142857142857,9.93333333333333,8.92857142857143,9.21428571428571,7.5
11772983,0.923076923076923,1,1,0.846153846153846,9.30769230769231,6.45454545454545,8.85714285714286,5
11774420,1,1,0.933333333333333,0.866666666666667,10,9.46153846153846,9.33333333333333,7.53333333333333
11779065,1,0.928571428571429,1,0.8,10,9.85714285714286,9.21428571428571,8
11779289,1,1,1,0.846153846153846,9.86666666666667,9.75,9.14285714285714,8.15384615384615
11779705,1,1,0.933333333333333,0.923076923076923,10,10,9.8,9.76923076923077
11779742,1,0.846153846153846,1,0.714285714285714,9.92857142857143,8.38461538461539,9.2,7.14285714285714
11779787,0.933333333333333,1,1,0.846153846153846,9.86666666666667,8.28571428571429,9,5.84615384615385
11779934,1,1,1,0.8,10,10,9.66666666666667,8.06666666666667
11779950,1,0.928571428571429,1,0.857142857142857,9.92857142857143,9.35714285714286,9.53333333333333,8.42857142857143
11780117,1,0.928571428571429,1,0.714285714285714,9.93333333333333,9.92857142857143,8.71428571428571,7.28571428571429
11785621,0.923076923076923,0.75,0.933333333333333,0.583333333333333,9.07692307692308,7.75,7.86666666666667,6.08333333333333
11785976,1,0.923076923076923,1,0.785714285714286,10,6.61538461538461,9.33333333333333,4.78571428571429
11786280,1,1,0.933333333333333,0.714285714285714,9.53333333333333,8.69230769230769,5.8,4.28571428571429
11790382,0.928571428571429,0.916666666666667,1,0.642857142857143,8.64285714285714,5.83333333333333,8.38461538461539,5
11792298,1,0.923076923076923,1,0.75,8.4,7.69230769230769,9,5.91666666666667
11796916,1,0.933333333333333,1,0.583333333333333,7.66666666666667,6.46666666666667,5.07692307692308,2.75
11802095,1,0.933333333333333,1,0.6,9.73333333333333,8.33333333333333,7.76923076923077,4.8
11802245,1,1,1,0.538461538461538,9.93333333333333,9.23076923076923,9.30769230769231,7.46153846153846
11823109,1,1,1,0.642857142857143,7.8,8.2,5.92857142857143,5.42857142857143
11823291,1,0.857142857142857,1,0.4,9.86666666666667,8.28571428571429,9.46153846153846,6.6
11823375,0.928571428571429,1,1,0.666666666666667,9.64285714285714,8.58333333333333,9.07142857142857,8.5
11825150,1,1,1,0.75,9.06666666666667,8.13333333333333,9.23076923076923,5.91666666666667
11836611,1,0.866666666666667,1,0.714285714285714,10,8.6,9.6,5.64285714285714
11842205,1,1,1,0.636363636363636,9.6,8.61538461538461,8.36363636363636,7.27272727272727
11842310,1,0.933333333333333,1,0.857142857142857,7.8,8.86666666666667,8.14285714285714,8.07142857142857
11845930,1,0.928571428571429,1,0.692307692307692,8.26666666666667,7.14285714285714,8.33333333333333,5.38461538461539
11847036,1,0.857142857142857,1,0.666666666666667,9.71428571428571,8.21428571428571,8,2.5
11847228,1,1,1,0.75,10,9.93333333333333,8.90909090909091,7.08333333333333
11847267,1,1,1,0.75,8.93333333333333,7.07142857142857,7.35714285714286,4.58333333333333
11850303,1,0.866666666666667,1,0.5,9.4,8.6,8.69230769230769,4.58333333333333
11854418,1,0.8,1,0.666666666666667,7.53333333333333,4.86666666666667,6.76923076923077,2.75
11860919,1,0.933333333333333,1,0.727272727272727,10,8.13333333333333,9.5,8.18181818181818
11862669,1,1,0.916666666666667,0.818181818181818,10,9.85714285714286,10,8.90909090909091
11863019,1,1,1,0.666666666666667,10,9.26666666666667,9.83333333333333,8.66666666666667
11865280,1,0.785714285714286,1,0.727272727272727,8.53333333333333,8,9.30769230769231,7.63636363636364
11873289,1,1,0.846153846153846,0.75,8.66666666666667,8.85714285714286,8.23076923076923,7.83333333333333
11873430,1,1,1,0.769230769230769,9.86666666666667,9.8,9.85714285714286,8.84615384615385
11873493,0.866666666666667,0.714285714285714,0.928571428571429,1,9.66666666666667,8.71428571428571,9.64285714285714,9.22222222222222
11873647,1,0.923076923076923,1,0.75,9.93333333333333,9.76923076923077,9.92857142857143,7.91666666666667
11881539,1,0.857142857142857,1,0.833333333333333,10,9.64285714285714,9.08333333333333,8.08333333333333
11883359,0.928571428571429,0.571428571428571,0.909090909090909,0.4,8,5.28571428571429,5.09090909090909,3.8
11906119,1,0.933333333333333,0.928571428571429,0.916666666666667,9.86666666666667,9.66666666666667,9.35714285714286,9.58333333333333
11907760,0.933333333333333,0.933333333333333,1,0.727272727272727,8.46666666666667,7,8.78571428571429,6.72727272727273
11908051,1,1,1,0.785714285714286,9.26666666666667,9.4,9.69230769230769,8.21428571428571
11908649,1,0.923076923076923,0.909090909090909,0.636363636363636,8.78571428571429,7.23076923076923,7.09090909090909,4.54545454545455
11918013,0.866666666666667,1,0.909090909090909,0.5,9.66666666666667,9.15384615384615,9.72727272727273,8
11918160,0.933333333333333,0.928571428571429,1,0.727272727272727,8.73333333333333,7.07142857142857,8.7,4.27272727272727
11924823,1,1,1,0.916666666666667,10,9.26666666666667,10,8.83333333333333
11925007,1,0.928571428571429,1,0.75,10,9.21428571428571,9.45454545454546,7.5
11925094,0.933333333333333,0.857142857142857,1,0.538461538461538,9.4,7.57142857142857,9.85714285714286,4.76923076923077
11927034,1,1,1,0.916666666666667,10,9.46666666666667,10,7.91666666666667
11949492,1,0.928571428571429,1,0.5,8.86666666666667,8.42857142857143,5.25,2.9
11949760,1,1,1,0.5,9.2,8.85714285714286,7.36363636363636,6.5
11949991,1,0.866666666666667,1,0.75,9.6,9.13333333333333,9.69230769230769,7.16666666666667
11950118,1,0.928571428571429,1,0.545454545454545,9.8,8.71428571428571,8.57142857142857,6.27272727272727
11950633,1,1,1,0.923076923076923,10,8.8,9.5,7.61538461538461
11970740,1,0.916666666666667,1,0.7,9.73333333333333,8.25,8.84615384615385,7.8
11977258,1,0.923076923076923,1,0.6,7.46153846153846,6.15384615384615,4.91666666666667,4
11992684,1,0.8,1,0.461538461538462,9.8,8.53333333333333,10,8.30769230769231
12012658,0.857142857142857,0.928571428571429,0.909090909090909,0.636363636363636,8.64285714285714,7.28571428571429,7.45454545454545,4.90909090909091
12040126,1,1,1,0.857142857142857,10,9.28571428571429,9.46666666666667,9.21428571428571
12040823,0.933333333333333,1,1,0.785714285714286,8.8,8.64285714285714,8.46666666666667,7.28571428571429
12040865,1,0.928571428571429,1,0.692307692307692,10,9.28571428571429,8.93333333333333,7.84615384615385
12049000,1,1,1,0.714285714285714,10,9.84615384615385,10,8.28571428571429
12056830,1,1,1,0.923076923076923,9.13333333333333,9.35714285714286,6.8,6.53846153846154
12065888,0.933333333333333,0.857142857142857,1,0.933333333333333,9.6,8.78571428571429,9.73333333333333,8.8
12072429,0.933333333333333,1,0.933333333333333,0.928571428571429,10,9.71428571428571,10,8.85714285714286
12086951,1,0.923076923076923,0.923076923076923,0.846153846153846,9.07142857142857,6.30769230769231,7.69230769230769,4.92307692307692
12087483,0.933333333333333,1,0.933333333333333,0.75,9.4,5.92857142857143,7.8,2.75
12111306,1,0.785714285714286,1,0.214285714285714,9.41666666666667,9.64285714285714,9.4,7.5
12122347,1,1,1,0.818181818181818,9.8,9.93333333333333,9.5,8.72727272727273
12122460,0.933333333333333,1,0.923076923076923,0.923076923076923,9.93333333333333,10,8.92307692307692,9.23076923076923
12126155,1,1,1,0.8,9.26666666666667,9.26666666666667,9.5,7.5
12126398,0.933333333333333,0.785714285714286,0.916666666666667,0.692307692307692,8.8,7.28571428571429,9.5,4.30769230769231
12126910,1,1,1,0.666666666666667,9.8,9.71428571428571,9.16666666666667,7.91666666666667
12128643,1,1,0.857142857142857,0.636363636363636,7.76923076923077,8.46153846153846,2.57142857142857,2.54545454545455
12134697,1,0.733333333333333,1,0.461538461538462,7.93333333333333,7.73333333333333,5.57142857142857,5.07692307692308
12135516,1,0.916666666666667,1,0.7,9.28571428571429,8.16666666666667,7.27272727272727,4.9
12162402,1,0.857142857142857,0.916666666666667,0.846153846153846,9.07142857142857,9,7.83333333333333,6.61538461538461
